c,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,,,,RANK
,Brian Mitchell,Paul IV,?,,,"6'4""",64,,,,,,64.0,64.0,,,,
,Declan Griffiths,Avon Old Farms,?,,,"6'7""",71,,,,,,71.0,71.0,,,,
,DJ Hawkins,St. Thomas Moore,?,,,"6'8""",76,109,,,,,92.5,92.5,,,,
,Mustafa Mohamed ,Melissa,?,,,"6'6""",78,,,,,,78.0,78.0,,,,
,Ben Kalonji,Massanutten Academy,?,,,"6'8""",84,,,,,,84.0,84.0,,,,
,Miguel Orbe,Miami Country Day,?,,,"6'3""",87,93,,,,,90.0,90.0,,,,
,Ben McKinney,Sunrise Christian,?,,,"6'11""",90,,,,,,90.0,90.0,,,,
,Zhenhe Liu,IMG Academy (CHN),?,,,"7'0""",94,,,,,,,,,,,
,Nate Blenman,Cushing Academy,?,,,"6'8""",97,,,,,,97.0,97.0,,,,
,James Minlend,Concord Academy,?,,,"6'6""",99,,,,,,99.0,99.0,,,,
,Payton Jones,Beaumont Central,?,,,"6'2""",100,77,,,,,88.5,88.5,,,,
,Geren Holmes,Burlington School,?,,,"6'5""",102,,,,,,102.0,102.0,,,,
,Koang Bol Kuany,Huntington Prep (SSD),?,,,"7'2""",103,,,,,,103.0,103.0,,,,
,Kenneth Lampley,Pike,?,,,"6'6""",106,,,,,,106.0,106.0,,,,
,Mark Bruns,Brewster Academy,?,,,"6'9""",107,,,,,,107.0,107.0,,,,
,Stefan Ilic,Tri-City Prep (CAN),?,,,"6'9""",109,,,,,,109.0,109.0,,,,
,Jahmai Drayton,Bishop McNamara,?,,,"6'11""",111,,,,,,111.0,111.0,,,,
,Marlon Martinez,Academy of Central Florida,?,,,"6'5""",112,141,,,,,126.5,126.5,,,,
,Jordan Hunter,Hargrave Military Academy,?,,,"6'2""",115,138,,,,,126.5,126.5,,,,
,Quinton Kitt,East Peoria,Illinois,,,"6'6""",118,103,,,,,110.5,110.5,,,,
,Josiah Nance,Notre Dame,?,,,"6'4""",130,97,,,,,113.5,113.5,,,,
,Deshawn Dillon,Northwest Rankin,?,Scoring Guard,Point-of-Attack,"6'3""",136,130,,,,,133.0,133.0,,,,
,Malcom Price,St. Joseph,?,,,"6'0""",,108,,,,,108.0,108.0,,,,
,Tony Cornett III,Westerville North,?,,,,,113,,,,,113.0,113.0,,,,
,JJ Watts,Riviera Prep (BAH),?,,,"6'7""",,119,,,,,119.0,119.0,,,,
,Stevie Hall,Cass Technical,?,,,"6'1""",,120,,,,,120.0,120.0,,,,
,Lucai Anderson,Trinity Christian ,?,,,"6'3""",,129,,,,,129.0,129.0,,,,
,Patrese Feamster,Friends Central,?,,,"6'4""",,131,,,,,131.0,131.0,,,,
,,,,,,,,,,,,,,,,,,
,Emmanuel Iyowoicho Onoja,NBA Academy Africa (NGA),?,,,"6'8""",,,,,,,,,,,,
,Joachim Basson,NBA Academy Africa (CMR),,,,"6'4""",,,,,,,,,,,,
,Jakob Siftar,Barcelona (SLO),?,Combo Wing,Perimeter Stopper,"6'5""",,,,,,,,,,,,
,Darius Karutasu,Anadolu (TUR),?,Off-Ball Wing,Perimeter Stopper,"6'6""",,,,,,,,,,,,
,Rafa Corta,Bella Vista Prep (ESP),?,,,"6'9""",,,,,,,,,,,,
,Ousmane Diarra,Real Madrid (MLI),?,Play Finishing Big,Rim Protector,"6'11""",,,,,,,,,,,,
,Abdrahamane Kone,Barcelona (MLI),?,Post Scorer,,"6'9""",,,,,,,,,,,,
,Andrej Fantic,Real Madrid (MNE),?,,,"6'6""",,,,,,,,,,,,
,Matej Buben,Joventut (CZE),?,,,"6'6""",,,,,,,,,,,,
,Marek Houska,Decin (CZA),?,Connector Wing,,"6'5""",,,,,,,,,,,,
,Paul Julius-Plato,Wuerzberg Basket (GER),?,Skilled Forward,Paint Presence,"6'8""",,,,,,,,,,,,
,Ari Amiel,Hapoel Tel Aviv (ISR),?,Primary Ball Handler,,"6'0""",,,,,,,,,,,,
,Moussa Coulibaly,Gran Canaria (MLI),?,,,"6'7""",,,,,,,,,,,,
,Mahamadou Landoure,NBA Academy Africa (MLI),?,Play Finishing Big,Rim Protector,"6'10""",,,,,,,,,,,,
,Imran Subasic,Dubai BC (BIH),?,Off-Ball Wing,,"6'5""",,,,,,,,,,,,
,Miguel Sousa,Valencia (POR),?,,Rim Protector,"6'10""",,,,,,,,,,,,
,Caspar Vossenberg,Bayern Munich (GER),?,,,"6'4""",,,,,,,,,,,,
,Demir Ozturk,Anadolu (TUR),?,Off-Ball Wing,???,"6'6""",,,,,,,,,,,,
,Tawhiri Cate,Canterbury Academy (NZL),?,Primary Ball Handler,,"6'1""",,,,,,,,,,,,
,Jackson Ball,Illawara (NZL),?,Primary Ball Handler,,"6'3""",,,,,,,,,,,,
,Ismael Zounamo,Hermine Nantes (FRA),?,Off-Ball Wing,Perimeter Disruptor,"6'7""",,,,,,,,,,,,
