TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,,,,,,RANK
,Trey Hillerich,Male,,,,6'9'',80,,,,96,,88.0,,,,,,
,RJ Davis,Ridge View,?,,,"6'7""",78,,80,,107,,88.3,,,,,,
,AJ Morman,Southern Durham,?,,,"5'10""",85,,95,,,,90.0,,,,,,
,Viktor Babic,Perry,?,,,"6'7""",79,,90,,102,,90.3,,,,,,
,Kenyon St. Louis,Winston Salem Christian (CAN),?,,,"6'2""",59,,82,,135,,92.0,,,,,,
,Parker McDaniel,South Central Prep,?,,,"6'3""",95,,97,,,,96.0,,,,,,
,Lleyton Leonard,Basha,?,Scoring Wing,Perimeter Stopper,"6'4""",,,71,,122,,96.5,,,,,,
,Terrell Jackson,Carter,?,Play Finishing Big,Rim Protector,"6'10""",,,64,,130,,97.0,,,,,,
,Damien Robinson,Landstown,?,,,"6'2""",97,,99,,,,98.0,,,,,,
,Bryson Jatta,Hillgrove,?,,,"6'2""",,,100,,,,100.0,,,,,,
,King McFadden,Tocoi Creek,?,Primary Ball Handler,Point-of-Attack,"6'3""",,,,,115,,115.0,,,,,,
,Josh Augmon,Cypress Park,,,,6'4'',,,,,41,,,,,,,,
,Madden Hill,Clear Springs,,,,5'11'',,,,,48,,,,,,,,
,Isaiah Eniojukan,Crestwood Prep (CAN),,,,6'5'',,,,,52,,,,,,,,
,Owen Eteuati,Arcadia,,,,6'7'',,,,,53,,,,,,,,
,Eduardo Santos,Corinthians (BRA),,,,6'8'',,,,,56,,,,,,,,
,Aidan Carter,St. Joseph,?,Combo Wing,Perimeter Stopper,"6'6""",,,42,,59,,,,,,,,
,Marcus Isaac,Mountain Pointe,,,,6'8'',,,,,64,,,,,,,,
,Malachi Odugbela,St. Andrews,,,,6'4'',,,,,69,,,,,,,,
,Jerrell Copeland,Edmond North ,,,,6'6'',,,,,74,,,,,,,,
,JJ Sati-Grier,Sierra Canyon,,,,5'11'',,,,,75,,,,,,,,
,Ephriam Moore,Beaumont,,,,6'8'',,,,,76,,,,,,,,
,Caleb Coolman,Penn ,,,,6'5'',,,,,78,,,,,,,,
,Isaiah Clarke,Holy Trinity (CAN),,,,6'7'',,,,,85,,,,,,,,
,Kaleb Allen,TL Hanna,,,,6'6'',,,,,88,,,,,,,,
,Trey Wright lll,Lone Star,,,,5'10'',,,,,92,,,,,,,,
,Rashard Miller,William Penn Charter ,,,,6'6'',,,,,93,,,,,,,,
,Davion Shareef-Dulaney,Lincoln,,,,6'2'',,,,,97,,,,,,,,
,Jashawn Coffey,Lebanon,,,,6'1'',,,,,98,,,,,,,,
,Jaden Redding,Desert Pines ,,,,6'4'',,,,,99,,,,,,,,
,Zy'ion Jones,Keenan,,,,6'8'',,,,,100,,,,,,,,
,Jaquan Turner,Oak Creek ,,,,6'4'',,,,,101,,,,,,,,
,Maurice Carter,Willow Canyon,,,,6'0'',,,,,103,,,,,,,,
,Kyle Delves,Mount Saint Charles ,,,,6'2'',,,,,104,,,,,,,,
,Noah D'Acre,Orangeville Prep (CAN),,,,6'4'',,,,,106,,,,,,,,
,Ethan Vahl,Oswego ,,,,6'2'',,,,,108,,,,,,,,
,Mazari Browne,West Nottingham ,,,,6'6'',,,,,109,,,,,,,,
,Eric Green II,Sidwell Friends,,,,6'2'',,,,,110,,,,,,,,
,Kainoa Patton,Centennial ,,,,6'2'',,,,,112,,,,,,,,
,Maxwell Joiner,Summit Country Day,,,,6'5'',,,,,113,,,,,,,,
,Alex Moore,St. Ignatius,,,,6'9'',,,,,114,,,,,,,,
,Bryson Campbell,Angleton ,,,,5'11'',,,,,116,,,,,,,,
,Jaylen Lewis,Don Bosco Prep ,,,,5'11'',,,,,117,,,,,,,,
,Ethan Knox,North Tampa Christian,,,,6'3'',,,,,118,,,,,,,,
,Aaron McMorran II,Desert Pines,,,,6'1'',,,,,119,,,,,,,,
,Jayden Spriggs,Navasota ,,,,6'5'',,,,,120,,,,,,,,
,Billy Stanfield III,Calvert Hall ,,,,6'6'',,,,,121,,,,,,,,
,Amarion Smith-Holley,Richwoods ,,,,6'1'',,,,,123,,,,,,,,
,Culen Browne,Wilson Academy,,,,6'4'',,,,,124,,,,,,,,
,Rodney Washington,McAlester,,,,6'2'',,,,,125,,,,,,,,
,Skye Ragoo,Christ the King,,,,6'1'',,,,,126,,,,,,,,
,Kelvin Anderson Jr,Catholic,,,,6'1'',,,,,127,,,,,,,,
,Ethan Mott,Pine Crest,,,,6'5'',,,,,128,,,,,,,,
