Team,Division,Name,Games,MPG,PPG,APG,ORPG,DRPG,RPG,SPG,BPG,STOCKS,TOV,AST/TOV,FPG,PTS,FGE%,FGM,FGA,FG%,2-PM,2PA,2P%,3-PM,3PA,3P%,3pr,FTM,FTA,FT%,FTr
Mokan,16U,Jamal Holden,4,9:23,3.2,0,0.8,2.2,3,0,0.8,0.8,0.2,0.00,1,13,50,5,10,50,5,10,50,0,0,0,0.000,3,4,75,0.400
AOT,16U,Pat Thompson,4,23:25,3.2,1.5,1,1.8,2.8,0.5,0,0.5,1.2,1.25,2,13,26.1,5,23,21.7,3,6,50,2,17,11.8,0.739,1,4,25,0.174
Florida Rebels,16U,Chase Weismiller,9,6:28,3.2,0.4,0.1,0.9,1,0.3,0.1,0.4,0.4,1.00,0.4,29,61.4,11,22,50,6,12,50,5,10,50,0.455,2,2,100,0.091
Houston Hoops,16U,Noah Holt,4,6:50,3.2,1,0.2,0.5,0.8,0.2,0.2,0.4,0.8,1.25,0.2,13,46.2,5,13,38.5,3,6,50,2,7,28.6,0.538,1,1,100,0.077
UPLAY,16U,Nathan Yambayamba,12,10:28,3.1,0.3,0.8,1,1.8,0.3,0.2,0.5,0.4,0.75,1.2,37,42.3,14,39,35.9,9,16,56.2,5,23,21.7,0.590,4,5,80,0.128
Alabama Fusion,16U,Jacob Griffin,10,10:12,3.1,0.4,0.1,1,1.1,0.4,0.1,0.5,0.8,0.50,0.7,31,43.5,9,31,29,0,6,0,9,25,36,0.806,4,4,100,0.129
Florida Rebels,16U,Graciano Ntonha,4,15:46,3,1.5,1.2,1.8,3,1,1.2,2.2,1.8,0.83,1.2,12,50,4,10,40,2,5,40,2,5,40,0.500,2,4,50,0.400
Houston Hoops,16U,Joseph Ballard,1,29:08:00,3,0,3,5,8,1,0,1,1,0.00,3,3,33.3,1,3,33.3,1,3,33.3,0,0,0,0.000,1,2,50,0.667
The Family,16U,Jeremiah Cook,8,8:18,3,1,0.2,1.1,1.4,0.8,0,0.8,1,1.00,0.6,24,52.8,8,18,44.4,5,13,38.5,3,5,60,0.278,5,6,83.3,0.333
Mac Irvin Fire,16U,Kayleb Young,4,11:47,3,0.5,1.2,2,3.2,0.2,0.2,0.4,1.5,0.33,1.5,12,54.5,6,11,54.5,6,11,54.5,0,0,0,0.000,0,0,0,0.000
USC Unleashed,16U,Luis Echevarria,4,5:12,3,1,0.2,0.8,1,0.2,0,0.2,0,#DIV/0!,0,12,75,4,8,50,0,0,0,4,8,50,1.000,0,1,0,0.125
Meanstreets,16U,Amari Dukes,1,14:11,3,1,1,2,3,0,0,0,1,1.00,1,3,50,1,2,50,1,2,50,0,0,0,0.000,1,2,50,1.000
Oakland Soldiers,16U,Daniel Bol,1,13:02,3,0,1,2,3,0,0,0,1,0.00,1,3,30,1,5,20,0,1,0,1,4,25,0.800,0,0,0,0.000
Alabama Fusion,16U,Kendaris Steele,7,20:23,2.9,0.3,2.6,3,5.6,0.3,1.4,1.7,0.6,0.50,2.6,20,20,4,20,20,4,20,20,0,0,0,0.000,12,18,66.7,0.900
Team Final,16U,Marvin Reed,11,15:38,2.9,2.5,0.3,0.8,1.1,0.7,0.1,0.8,1.6,1.56,1.3,32,34.5,9,29,31,7,25,28,2,4,50,0.138,12,15,80,0.517
Howard Pulley,16U,Willie Roelofs,10,9:21,2.9,0.3,1.2,0.9,2.1,0.3,0,0.3,0.6,0.50,1,29,24.2,7,31,22.6,6,21,28.6,1,10,10,0.323,14,15,93.3,0.484
Team Why Not,16U,Godson Eyita,11,13:41,2.8,0.8,1.6,3.1,4.7,0.3,1.2,1.5,0.5,1.60,2.4,31,41.7,15,36,41.7,15,35,42.9,0,1,0,0.028,1,4,25,0.111
Team Why Not,16U,Isaac Hagens,6,8:34,2.8,0,0.8,1.5,2.3,0.3,0.7,1,0,#DIV/0!,0.5,17,66.7,8,12,66.7,8,10,80,0,2,0,0.167,1,3,33.3,0.250
AZ Unity,16U,Maddox Lazor,4,14:10,2.8,1.2,3,2.8,5.8,0.2,0.8,1,0.5,2.40,0.8,11,45.5,5,11,45.5,5,11,45.5,0,0,0,0.000,1,1,100,0.091
USC Unleashed,16U,J' Sean Sanders,4,12:32,2.8,0.2,1.5,1.5,3,0.5,0.2,0.7,0.5,0.40,0.5,11,36.4,4,11,36.4,4,11,36.4,0,0,0,0.000,3,9,33.3,0.818
Team Herro,16U,Bol WUNROK,12,10:44,2.8,0.2,0.7,1.2,1.9,0.2,0.3,0.5,0.5,0.40,1.7,33,68.4,12,19,63.2,10,14,71.4,2,5,40,0.263,7,8,87.5,0.421
AZ Unity,16U,Jahmai Samuel-Maragh,10,10:08,2.8,0.6,0,1.1,1.1,0.2,0,0.2,0.7,0.86,0.1,28,37.1,9,31,29,4,10,40,5,21,23.8,0.677,5,6,83.3,0.194
Georgia Stars,16U,Celestino Augusto,3,7:53,2.7,0,1,2.7,3.7,0,2,2,0.7,0.00,0.7,8,100,4,4,100,4,4,100,0,0,0,0.000,0,4,0,1.000
All Ohio,16U,Brody Baker,3,18:29,2.7,2.7,0,2.7,2.7,0.7,0.7,1.4,1,2.70,0.7,8,21.4,3,14,21.4,3,4,75,0,10,0,0.714,2,2,100,0.143
AZ Unity,16U,Adrian Higuera,11,16:37,2.7,2.5,0.2,0.8,1,1.1,0.2,1.3,1,2.50,1.5,30,45,13,30,43.3,12,21,57.1,1,9,11.1,0.300,3,4,75,0.133
Brad Beal Elite,16U,Leon Powell,3,8:32,2.7,0.3,1,0.7,1.7,1.3,0,1.3,0.7,0.43,1,8,30.8,3,13,23.1,1,8,12.5,2,5,40,0.385,0,0,0,0.000
PG Elite,16U,Elijah Popoola,6,9:25,2.7,0.3,0.8,1.2,2,0.5,0.2,0.7,0.7,0.43,1.3,16,38.1,7,21,33.3,5,15,33.3,2,6,33.3,0.286,0,0,0,0.000
Team United,16U,Sam Mills,11,13:58,2.7,0,1.3,1.2,2.5,0.1,0.5,0.6,1,0.00,2.5,30,44.4,12,27,44.4,12,27,44.4,0,0,0,0.000,6,8,75,0.296
Meanstreets,16U,Caden Crudup,12,17:25,2.6,0.7,0.8,2.2,2.9,0.6,0.4,1,0.5,1.40,2.1,31,41.9,11,31,35.5,7,18,38.9,4,13,30.8,0.419,5,12,41.7,0.387
Mokan,16U,William Powers,12,13:27,2.6,0.8,0.6,1.3,1.9,0.3,0,0.3,0.6,1.33,1.6,31,29.8,13,52,25,8,18,44.4,5,34,14.7,0.654,0,1,0,0.019
Georgia Stars,16U,Alyko Raphael,11,18:35,2.5,0.2,1.5,2.5,4,0.8,3.6,4.4,0.7,0.29,2.5,27,45,9,20,45,9,19,47.4,0,1,0,0.050,9,18,50,0.900
The Family,16U,Andrew Kenyi,11,11:26,2.5,0.1,0.9,2.5,3.5,0.5,0.9,1.4,0.2,0.50,1.6,28,43.5,9,23,39.1,7,18,38.9,2,5,40,0.217,8,18,44.4,0.783
