"conferenceId","Team ID","Team Market","position","Player Height","Class Year","playerId","jerseyNum","fullName","Games Started","Games Played","Minutes Played","Assist Pct","Assist Pct %ile","Assist Ratio","Assist Ratio %ile","Turnover Pct","Turnover Pct %ile","Ast/Tov Ratio","Ast/Tov Ratio %ile","Usage Pct","Usage Pct %ile","True Shooting %","True Shooting % %ile","2-Point Pct","2-Point Pct %ile","3-Point Pct","3-Point Pct %ile","Free Throw Pct","Free Throw Pct %ile","Off Rebound Pct","Off Rebound Pct %ile","FT Attempt Rate","FT Attempt Rate %ile","3-Point Att Rate","3-Point Att Rate %ile"
"39","103270","Alabama St.","G","77","Senior","2160962","5","Tyler Mack","0","16","332.15","0.08643","0.26","0.11807","0.31","0.1071","0.75","1.25","0.44","0.16439","0.28","0.475","0.18","0.70588","0.99","0.27632","0.23","0.5","0.04","0.04133","0.72","0.17204","0.15","0.8172","0.96"
"39","103270","Alabama St.","G","74","Senior","1912481","20","Asjon Anderson","19","27","724.71","0.25151","0.89","0.15691","0.53","0.17962","0.22","1.03614","0.29","0.3073","0.98","0.49987","0.28","0.37179","0.11","0.30909","0.37","0.83333","0.8","0.01593","0.21","0.41121","0.75","0.51402","0.59"
"39","103269","Alabama A&M","G","79","Junior","2474952","4","Gabe Kincy","3","18","337.62","0.0618","0.11","0.11638","0.3","0.19157","0.17","0.6875","0.1","0.12861","0.09","0.5037","0.3","0.35714","0.09","0.32","0.44","0.72727","0.38","0.03061","0.54","0.62264","0.96","0.4717","0.5"
"39","103269","Alabama A&M","G","73","Senior","2144725","00","Kintavious Dozier","30","30","989.99","0.14027","0.55","0.11641","0.3","0.11199","0.71","1.17647","0.39","0.24298","0.81","0.56256","0.68","0.45887","0.41","0.37719","0.78","0.84444","0.83","0.02413","0.42","0.3913","0.72","0.33043","0.24"
"39","103269","Alabama A&M","G","78","Junior","2115898","1","Koron Davis","30","30","893.17","0.058","0.09","0.04664","0.02","0.12675","0.59","0.38596","0.01","0.26596","0.9","0.5755","0.77","0.49763","0.6","0.32727","0.48","0.82209","0.75","0.04011","0.7","0.50779","0.89","0.34268","0.26"
"39","103269","Alabama A&M","G","75","Senior","1923924","3","Sami Pissis","26","28","830.89","0.29425","0.95","0.24965","0.87","0.14427","0.44","2.30612","0.89","0.21684","0.66","0.50069","0.29","0.42953","0.27","0.33019","0.5","0.71605","0.35","0.02145","0.35","0.31765","0.56","0.41569","0.4"
"39","103269","Alabama A&M","G","79","Junior","1622777","21","James Graham","21","25","635.24","0.06882","0.15","0.07495","0.09","0.14584","0.43","0.55556","0.05","0.20466","0.59","0.58112","0.79","0.52419","0.73","0.38333","0.82","0.7541","0.49","0.06305","0.9","0.33152","0.59","0.32609","0.23"
"89","103268","Alabama","G","76","Sophomore","2301240","0","Labaron Philon","32","33","1019.62","0.32267","0.97","0.20095","0.73","0.12803","0.57","1.96429","0.8","0.30111","0.97","0.63363","0.96","0.57447","0.88","0.39901","0.88","0.79798","0.66","0.01959","0.31","0.40825","0.75","0.41856","0.4"
"89","103268","Alabama","G","73","Junior","2106215","2","Aden Holloway","27","28","794.95","0.23753","0.86","0.20809","0.76","0.10164","0.79","2.58537","0.94","0.23626","0.78","0.64983","0.98","0.53103","0.75","0.43787","0.96","0.86364","0.88","0.01062","0.09","0.35032","0.63","0.53822","0.63"
"89","103268","Alabama","G","77","Senior","1695278","95","Houston Mallette","12","35","816.29","0.07421","0.17","0.1554","0.52","0.0644","0.97","2.85714","0.96","0.1243","0.07","0.56539","0.7","0.5","0.63","0.35542","0.65","0.88571","0.93","0.07427","0.95","0.18617","0.19","0.88298","0.99"
"89","103268","Alabama","G","75","Senior","1602892","3","Latrell Wrightsell Jr.","19","27","737.5","0.12001","0.45","0.13093","0.38","0.06794","0.96","2.21739","0.87","0.21507","0.65","0.56418","0.69","0.51899","0.71","0.36019","0.69","0.7931","0.64","0.01678","0.23","0.2","0.22","0.72759","0.9"
