Team,Division,Player,Games,POSS ,PTS,PPP,AST,TO,TO%,AST/TO,FG MADE,FG MISS,FG ATT,FG%,EFG%,TS%,TSA,2 FG MADE,2 FG MISS,2 FG ATT,2 FG%,3 FG MADE,3 FG MISS,3 FG ATT,3FG%,3PA/FGA,FT ATT,FT MADE,FT MISS,FT%,%FT,FTA/FGA,AND-ONE,AND-ONE %,SCORE%,SF,%SF,TOT REB,OFF REB,DEF REB,STL,STL POS,STL/TO,BLK,BLK FGA,BLK FGA/FGA,STL+BLK,PF TKN,PF COM,BLK/FOUL,GM SCORE,DBL-DBL,TRI-DBL
1Family,16U,Julian Fox,3,47,39,0.83,1,8,17.00%,0.13,15,22,37,40.50%,50.00%,50.30%,39,8,8,16,50.00%,7,14,21,33.30%,0.57,4,2,2,50.00%,6.40%,0.11,1,2.10%,34.00%,1,2.10%,11,3,8,2,6,0.25,1,4,0.11,3,6,4,0.25,16.6,0,0
MPJ Elite,16U,Jayven Jones,8,46,46,1,10,7,15.20%,1.43,19,17,36,52.80%,58.30%,59.50%,39,15,15,30,50.00%,4,2,6,66.70%,0.17,6,4,2,66.70%,6.50%,0.17,0,0.00%,47.80%,3,6.50%,43,14,29,7,6,1,10,3,0.08,17,3,8,1.25,56.9,2,0
3D Empire,16U,Owen Jones,8,45,35,0.778,16,9,20.00%,1.78,12,22,34,35.30%,47.10%,48.90%,36,4,6,10,40.00%,8,16,24,33.30%,0.71,4,3,1,75.00%,6.70%,0.12,1,2.20%,28.90%,1,2.20%,34,11,23,7,4,0.78,5,0,0,12,6,19,0.26,35.3,0,0
TME ,16U,Ian Beaufort,4,45,31,0.689,5,3,6.70%,1.67,11,26,37,29.70%,31.10%,37.00%,42,10,21,31,32.30%,1,5,6,16.70%,0.16,11,8,3,72.70%,13.30%,0.3,1,2.20%,35.60%,4,8.90%,14,5,9,9,2,3,2,7,0.19,11,8,7,0.29,22.6,0,0
Team Museum,16U,Eric Turner,3,44,42,0.955,8,6,13.60%,1.33,12,15,27,44.40%,48.10%,57.90%,36,10,8,18,55.60%,2,7,9,22.20%,0.33,21,16,5,76.20%,25.00%,0.78,0,0.00%,47.70%,7,15.90%,10,2,8,3,4,0.5,1,1,0.04,4,13,6,0.17,30.6,0,0
Team Museum,16U,Malachi Terrell,3,44,35,0.795,5,5,11.40%,1,11,23,34,32.40%,36.80%,44.60%,39,8,16,24,33.30%,3,7,10,30.00%,0.29,12,10,2,83.30%,15.90%,0.35,0,0.00%,38.60%,4,9.10%,12,4,8,9,4,1.8,1,5,0.15,10,8,7,0.14,25.4,0,0
1Family,16U,Keitho Johnson,5,44,30,0.682,3,8,18.20%,0.38,12,22,34,35.30%,39.70%,41.90%,36,9,16,25,36.00%,3,6,9,33.30%,0.26,4,3,1,75.00%,4.50%,0.12,0,0.00%,31.80%,1,2.30%,18,7,11,1,3,0.13,6,1,0.03,7,3,12,0.5,13.3,0,0
AAO Flight,16U,Kellen Cash,6,43,46,1.07,8,4,9.30%,2,18,21,39,46.20%,57.70%,58.30%,39,9,7,16,56.30%,9,14,23,39.10%,0.59,1,1,0,100.00%,2.30%,0.03,1,2.30%,41.90%,1,2.30%,9,1,8,2,4,0.5,7,1,0.03,9,2,7,1,34.7,0,0
Southern Ties,16U,Jasper Chaves,9,43,44,1.023,12,7,16.30%,1.71,17,16,33,51.50%,62.10%,61.00%,36,10,7,17,58.80%,7,9,16,43.80%,0.48,7,3,4,42.90%,9.30%,0.21,1,2.30%,44.20%,3,7.00%,30,14,16,6,5,0.86,8,1,0.03,14,8,10,0.8,49.7,0,0
Team Ish,16U,Jeremy Duhon,6,42,41,0.976,5,2,4.80%,2.5,13,25,38,34.20%,47.40%,50.40%,41,3,5,8,37.50%,10,20,30,33.30%,0.79,6,5,1,83.30%,7.10%,0.16,1,2.40%,35.70%,2,4.80%,7,3,4,4,0,2,0,1,0.03,4,3,1,0,27.6,0,0
